lig_id,zinc_id,can_smiles,zinc_bin
Z00057,19148782,Cc1csc([C@@H](C)N(C)C(=O)CCN2CCOCC2)n1,CD
Z00058,2382338211,C[C@H]1C(=O)N(Cc2cccc(F)c2)CC(=O)N1CCCO,CC
Z00059,2382385640,O=C(N[C@H]1C[C@H](C(=O)NCc2cc(C3CC3)on2)CC[C@@H]1O)c1ccc[nH]1,FD
Z00060,4866204,COc1ccc(OC)c(-c2c(=O)n(O)c3ccccc3[n+]2[O-])c1,DD
Z00061,67605444,CCCc1cc(C(=O)N[C@@H](C)c2nnc3n2CCNCC3)cs1,ED
Z00062,219582689,COC[C@H]1[C@H]2OCC[C@H]2[C@H]1NC(=O)COc1ccc(F)cc1F,ED
Z00063,2382421162,CCc1nc(CN2CCN(C(=O)c3ccoc3)[C@H](C)[C@@H]2C)n[nH]1,DD
Z00064,299787148,Cc1nc(N)ncc1C(=O)N1CCN(C2CCCC2)C(=O)C1,DC
Z00065,1775980538,CC1(C)CCN(S(=O)(=O)N2CCCN(C(=O)[C@@H]3CCOC3)CC2)CC1,FC
Z00066,426513776,Cn1c(CO)nnc1[C@@H]1CCCN(C(=O)NCc2nc3ccccc3n2C)C1,GD
Z00067,13637536,Nc1nc(N2CCOCC2)nc2c1[C@@H](C(=O)Nc1ccccc1)CC(=O)N2,FC
Z00068,1940193641,Cc1noc(NC(=O)c2cnn3ccn(C)c23)c1C,CD
Z00069,613733,O=C1Nc2ccccc2[C@H]1[C@@]1(O)C(=O)Nc2ccc(F)cc21,CD
Z00070,1857793352,CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2cnc(Cl)cn2)CC1,FD
Z00071,102821946,NC(=O)CN1CCC[C@H](C(=O)NCCC2=CSC3=NCCCN23)C1,FC
Z00072,20775376,CN(C)CCN1C[C@@H](C(=O)NCc2n[nH]c3c2CCCCC3)CCC1=O,FD
Z00073,222908477,Cn1cc([C@H](NC(=O)c2ccn3nnnc3c2)[C@H]2C[C@H](O)C2)cn1,EC
Z00074,952987922,CC(=O)c1cc2c(cc1NC(=O)c1cc(C)nn1C)OCCO2,DD
Z00075,299802845,CCN1CCNC(=O)[C@H]1CC(=O)NCCCc1csc(N)n1,EB
Z00076,91604323,CCc1nnsc1C(=O)N1CCC[C@@]2(CCC(=O)N(CCOC)C2)C1,FD
Z00077,299793920,Cc1cccnc1CN1CCN(C(=O)[C@@H]2CCC(=O)NC(=O)N2)CC1,EC
Z00078,426534515,Cc1nn(C)c(C)c1CN(C)C(=O)NCCc1nc(-c2cccnc2)n[nH]1,FD
Z00079,534634174,CC[C@@H](NC(=O)CCCN1CCOCC1)c1ncnn1C,CC
Z00080,77378954,Cc1ccc(CN2C[C@]34C=C[C@H](O3)[C@H](C(=O)N(C)Cc3cnn(C)c3)[C@@H]4C2=O)cc1C,HD
Z00081,12744430,Cc1noc(C)c1S(=O)(=O)N1CCC[C@H](N(C)CCCN(C)C)C1,FD
Z00082,2382408641,CC(=O)NC[C@H]1CC[C@@H](CC(=O)NCc2nnc3ccccn23)N1C,EC
Z00083,82097337,CCc1c(C)cc(C(=O)N2CCN(c3ccccc3)C(=O)C2)c(=O)n1C,FD
Z00084,23191474,Cc1nc(CCNC(=O)c2coc3c2C(=O)CCC3)cc(=O)[nH]1,DD
Z00085,2384424088,COC(=O)c1ccc(C(=O)N[C@H]2CC23CCN(Cc2cnn(C)c2)CC3)nc1,GD
Z00086,96136475,CCc1cc(N2CCC(NCc3cc(O)nc(C)n3)CC2)nc(C)n1,ED
Z00087,1875249947,CCCN1CCC[C@@]2(CCc3c2nc(-c2cccnc2)[nH]c3=NCC(=O)NC)C1,GD
Z00088,91289186,CCc1n[nH]c(C(=O)N2CC[C@H](N3CCOCC3)[C@H](CCC(=O)O)C2)c1C,GD
Z00089,670443578,CCOc1ccnc(N2CC[C@](O)(c3ccccc3)C2)n1,CD
Z00090,91604887,COCCC[C@@]1(C(=O)O)CCCN(C(=O)c2ccc[nH]c2=O)C1,DD
Z00091,670457906,Cc1nc(O)nc(C)c1CCC(=O)N[C@@H]1CCCN(C(=O)c2ccco2)C1,FD
Z00092,71752641,CC[C@H]1CN(CCO)CCC(=O)N1Cc1ccccc1,CD
Z00093,216863363,COCC(=O)N1CCN(C(=O)Cc2ccccc2OC)[C@@H]2CS(=O)(=O)C[C@@H]21,GB
Z00094,244899878,CO[C@H]1CCCN(C(=O)c2ccc(CSc3nnc[nH]3)o2)C1,DD
Z00095,72480862,CCc1nnc(CN2CCC[C@H](c3cc(N4CCOCC4)nc(C)n3)C2)o1,FD
Z00096,2356148311,c1ccc2c(c1)CCc1nnc(CCn3cccn3)n1C2,CD
Z00097,1704297503,Cc1cc(C(N)=O)c(NCCN(C)S(C)(=O)=O)nc1C,DC
Z00098,244601991,CN1CCC(C(=O)NCc2nnc(N)s2)(c2ccccc2)CC1,ED
Z00099,4282223,CC(=O)N[C@H]1[C@H](Oc2ccc3c(C)cc(=O)oc3c2)O[C@H](CO)[C@H](O)[C@@H]1O,GB
Z00100,823690206,CN(C)C[C@@H]1COCCN(CC(C)(C)N2CCCCC2)C1,CD
Z00101,426497108,C[C@@H](CNC(=O)N(C)CC1(CO)CCOCC1)Oc1cccnc1,ED
Z00102,223253677,CCO[C@H]1CN(C(=O)CN(C)Cc2ccc(F)cc2)C[C@@H]1O,DC
Z00103,670441606,Cc1ccc2nc(CNC(=O)C3CCN([C@H]4CCS(=O)(=O)C4)CC3)[nH]c2c1,GD
Z00104,584888098,C[C@@H](CCNC(=O)NC1(C(N)=O)CCCCCC1)n1ccnc1,DD
Z00105,670451702,COc1ccc([C@H](NC(=O)CCn2cnnn2)c2ccncc2)cc1,ED
Z00106,72407597,Cc1cnn(CCCNC(=O)[C@H]2CC[C@@H](NC(=O)c3ocnc3C)C2)c1,FD
Z00107,244723981,CN(Cc1nccs1)c1cc([C@H]2C[C@@H](O)C2)nc(N)n1,CD
Z00108,1704338592,CN(C)Cc1nc(C(=O)N2CCC[C@@]3(CCc4cnc(N)nc43)C2)cs1,FD
Z00109,2356166765,CCCCn1nc(CC(N)=O)nc1-c1ccc2ccn(C)c2n1,DD
Z00110,67983207,CC(C)n1cnnc1CCNC(=O)c1nc2ccc(F)cc2[nH]1,DD
Z00111,220648864,Cc1nc2cc(CNC(=O)c3ccnnc3)ccc2n1C,CD
