rank,lig_id,zinc_id,affinity,delta_vs_AMP,arm,tanimoto_to_amp,can_smiles
637,Z32871,2325802708,-8.882,-0.1,diversity,0.080,O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)N1CC[C@@H](N2CC(O)C2)C1
638,Z22705,2100545455,-8.881,-0.1,enrichment,0.141,O=C(N[C@H]1C[C@H](C(=O)NCCn2cncn2)C[C@@H]1O)c1ccc(Cl)cc1F
639,Z11594,2382383237,-8.881,-0.1,enrichment,0.140,O=C(c1cnc(O)[nH]1)N1CCO[C@H](CN2CCCC2)[C@H]1c1ccccc1
640,Z19899,2382432804,-8.879,-0.1,enrichment,0.134,O=C(NC[C@H]1[C@H]2CN(C(=O)c3cccnc3O)C[C@]23CC[C@H]1O3)c1cscn1
641,Z21375,426547739,-8.878,-0.1,diversity,0.111,O=C(NCc1ccc(-c2ncon2)cc1)[C@@H](Cc1ccccc1)n1cnnn1
642,Z05625,1857705937,-8.877,-0.1,enrichment,0.143,O=C(Cc1ccccc1Cl)N[C@@H]1CN(Cc2cnn3cccnc23)CC[C@@H]1O
643,Z11148,2356158392,-8.877,-0.1,diversity,0.118,COc1ccc([C@H]2[C@H](CO)OCCN2C(=O)CN2CCNC(=O)C2)cc1OC
644,Z49925,643203,-8.875,-0.1,diversity,0.105,C[C@H]1Cc2ccc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
645,Z48926,101135877,-8.874,-0.1,enrichment,0.143,CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@@H]1NC(=O)c1ccccc1
646,Z12243,2325851715,-8.874,-0.1,diversity,0.080,CC1(C)C[C@@](NC(=O)c2cncc3cnccc23)(C(=O)O)CCO1
647,Z41063,2504103,-8.873,-0.09,diversity,0.075,Cc1ccc(-n2c3c(c(=O)[nH]c2=O)[C@@](O)(C(F)(F)F)C(=O)N3)cc1
648,Z17004,2802394,-8.873,-0.09,diversity,0.093,Cc1cc(C(F)(F)F)nn1CCc1nc2c3cnn(C)c3ncn2n1
649,Z39587,526061580,-8.873,-0.09,diversity,0.098,Cn1cc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1
650,Z11923,1940197120,-8.872,-0.09,enrichment,0.141,Cc1c(C(=O)N[C@H]2CO[C@@H]3[C@H](O)CO[C@H]23)cnn1-c1ccccn1
651,Z24459,1857698432,-8.872,-0.09,diversity,0.086,COC(=O)[C@H](Cc1cnc[nH]1)NC(=O)c1nc(-c2ccc(F)cc2)[nH]c1C
652,Z00979,91736218,-8.871,-0.09,enrichment,0.146,CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c2cnc(Cn3cncn3)nc2O)C1
653,Z20458,1704311521,-8.87,-0.09,enrichment,0.133,COc1ccc(S(N)(=O)=O)cc1C(=O)N1C[C@H](O)[C@H](Cc2cc(C)[nH]n2)C1
654,Z40211,299760191,-8.87,-0.09,diversity,0.066,Cc1sc2nc(CCNC(=O)[C@H]3CCS(=O)(=O)C3)nc(O)c2c1C
655,Z13535,2325865093,-8.869,-0.09,diversity,0.093,Cc1cc(C)nc(-n2[nH]c(C(=O)N(C)Cc3coc(C)n3)cc2=O)n1
656,Z24288,67473353,-8.869,-0.09,diversity,0.085,CC(C)NC(=O)[C@@H]1C[C@@H](N)CN1C(=O)CCCc1c[nH]c2ccccc12
657,Z39520,1514885,-8.868,-0.09,enrichment,0.158,Cc1cc(N)n(-c2ncnc3c2cnn3-c2ccccc2)n1
658,Z17213,55253095,-8.868,-0.09,diversity,0.096,Cc1ccc2nc(C)c(C(=O)N3C[C@H](O)C[C@H]3C(=O)O)cc2c1
659,Z24067,1857730021,-8.867,-0.09,diversity,0.125,OC[C@H]1C[C@@H]2OCCN(Cc3nnc(-c4cccc(F)c4)o3)[C@H]2C1
660,Z12035,243932134,-8.866,-0.09,enrichment,0.136,O=C1CCC2(CCN(Cc3ncccn3)CC2)CN1[C@H]1CC[C@H](O)CC1
661,Z45732,2325849733,-8.865,-0.09,enrichment,0.172,Cn1ncc2cc(C(=O)N[C@H]3CCN(c4cc[nH]n4)C3=O)cnc21
662,Z19063,2325809788,-8.865,-0.09,diversity,0.078,Cc1nc2c(-c3cncc(N(C)C4CNC4)n3)cccc2c(=O)n1C
663,Z17485,79428723,-8.862,-0.08,enrichment,0.500,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](NCc2ccccc2)[C@H]1O
664,Z38899,2325898626,-8.862,-0.08,diversity,0.099,CNC(=O)COC1(C)CN(C(=O)c2cc3ncc(C(C)C)cc3[nH]2)C1
665,Z34427,12653593,-8.861,-0.08,enrichment,0.138,CC1(C)CC(=O)c2cnc(N3CCC(C(N)=O)CC3)nc2C1
666,Z24172,6804892,-8.861,-0.08,diversity,0.098,CCn1ncc(C2=NO[C@@H](C(=O)N3CCN(C(=O)c4ccco4)CC3)C2)c1C
667,Z30374,426689802,-8.859,-0.08,enrichment,0.165,O=C(COc1ccccc1)N1CCN(c2cc([C@H]3CCOC3)ncn2)CC1
668,Z25300,2382387373,-8.858,-0.08,enrichment,0.141,Cc1c(C(=O)N2C[C@H](Cc3ccncc3)[C@@H](O)C2)cnc2ccnn12
669,Z33155,42437779,-8.858,-0.08,enrichment,0.140,NC(=O)[C@H]1CCCN(CCn2cnc3cc(F)ccc3c2=O)C1
670,Z42986,252536541,-8.857,-0.08,enrichment,0.133,COc1ccc([C@@H](NC(=O)c2cnn3ccn(C)c23)[C@H]2C[C@H](O)C2)cn1
671,Z15763,2325804962,-8.855,-0.08,diversity,0.080,CN1CCN(c2noc(-c3ccc(Cl)c(F)c3O)n2)CC1=O
672,Z35292,1772705911,-8.854,-0.08,enrichment,0.135,Cc1cc(C(=O)N2C[C@H]3CN(C(=O)CN)C[C@@]3(CCc3ccccc3)C2)nn1C
673,Z03432,223945604,-8.853,-0.07,enrichment,0.133,COc1ccc([C@H](NC(=O)c2cc(C(C)C)nc(N)n2)C2CC(O)C2)cn1
674,Z32454,91713040,-8.852,-0.07,diversity,0.096,Cc1nnc(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)o1
675,Z43366,1529098325,-8.85,-0.07,enrichment,0.136,Nc1nc(NCc2nncn2C2CCCCC2)cc2nncn12
676,Z06543,1704299849,-8.85,-0.07,enrichment,0.133,CN(C)S(=O)(=O)C[C@@H]1COC[C@@H]1NC(=O)c1ccc(-n2cnnc2)cc1
677,Z39231,96180417,-8.85,-0.07,diversity,0.090,Cc1c(NC(=O)N2CCN[C@H]3CS(=O)(=O)C[C@H]32)cccc1N1CCCC1
678,Z03904,97528890,-8.849,-0.07,enrichment,0.145,NS(=O)(=O)c1ccc(CCNC(=O)c2cc3ncccn3n2)cc1
679,Z21582,91401,-8.849,-0.07,diversity,0.123,Cn1c(=O)c2c(ncn2CCCC(=N)N2CCCCC2)n(C)c1=O
680,Z41428,43735374,-8.849,-0.07,diversity,0.074,C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]34O[C@H]4C[C@@]2(C)[C@@]1(O)C(=O)CO
681,Z12845,952984223,-8.847,-0.07,enrichment,0.173,NC(=O)CN1CCC[C@@H](C(=O)N2CCC[C@@H](c3cc(O)ncn3)C2)C1
682,Z11301,20662180,-8.846,-0.07,enrichment,0.157,OCCN1CCN(c2ncnc3c2cnn3-c2cccc(Cl)c2)CC1
683,Z45504,223555151,-8.846,-0.07,enrichment,0.136,Cc1cnc2c(C(=O)N[C@H](Cc3ccncc3)[C@H]3C[C@H](O)C3)cnn2c1
684,Z18484,2325785002,-8.846,-0.07,diversity,0.072,CC1(C(=O)N=[S@](C)(=O)c2cnn3c2CN(c2ccnc4nccn24)CC3)CC1
685,Z26345,215802227,-8.843,-0.06,enrichment,0.136,Cc1cn(CC(=O)N2CCC[C@H](c3ccncn3)C2)c(=O)[nH]c1=O
686,Z20869,299757664,-8.843,-0.06,enrichment,0.135,CNC(=O)CN1CCC(N2C[C@H](COc3ccc(F)cc3)OCC2=O)CC1
687,Z42424,2325852190,-8.842,-0.06,diversity,0.087,C[C@H](O)c1n[nH]c([C@H](C)NC(=O)[C@@H]2CCc3cc(F)ccc3O2)n1
688,Z03226,23431834,-8.841,-0.06,diversity,0.098,CNC(=O)c1ccc([C@@H]2CCCN2C(=O)c2cc(OC)nc(OC)n2)s1
689,Z03741,2382390572,-8.839,-0.06,enrichment,0.146,O=C(NC[C@H]1[C@@H]2CC[C@@]3(CN(c4ncccn4)C[C@@H]13)O2)c1ccco1
690,Z13620,584895046,-8.839,-0.06,enrichment,0.134,CCCn1ncnc1-c1ccc(C(=O)N2C[C@H]3C[C@H](O)[C@H](O)C[C@H]3C2)cc1
691,Z13722,1875245504,-8.839,-0.06,diversity,0.106,O=C(N[C@H]1CO[C@@H]2[C@@H](O)CO[C@H]12)c1cc(-c2ccc(Cl)cc2)[nH]n1
692,Z36858,2382407906,-8.838,-0.06,enrichment,0.172,CN1[C@H](CC(=O)N2CCOCC2)CC[C@@H]1CNC(=O)c1ccnc2c1ncn2C
693,Z38064,67460322,-8.838,-0.06,enrichment,0.137,NCCN1C[C@]23CC[C@H](O2)[C@H](C(=O)Nc2cnc4n2CCCC4)[C@@H]3C1=O
694,Z01371,1857723147,-8.838,-0.06,enrichment,0.135,CCCS(=O)(=O)N1C[C@@H]2[C@H](CNC(=O)c3ccccc3)[C@H]3CC[C@]2(C1)O3
695,Z15803,77393872,-8.837,-0.06,enrichment,0.161,CCn1c(N)nc2cc(C(=O)NCc3cc(C4CC4)on3)cnc21
696,Z20759,828315066,-8.837,-0.06,diversity,0.085,CC(C)N1CCNC(=O)[C@H]1Cc1nc(-c2cccc3c2ccn3C)n[nH]1
697,Z22779,2356154923,-8.836,-0.06,diversity,0.069,CN=c1[nH]c(C)cc(=Nc2cccc(N3CCN(C)C3=O)c2)[nH]1
698,Z24249,1529119073,-8.835,-0.06,enrichment,0.138,NS(=O)(=O)c1ccc(CCNc2nccc(N3CCC[C@H](O)C3)n2)cc1
699,Z28159,2325786245,-8.834,-0.06,diversity,0.105,CCn1cc(C(=O)NC[C@]2(CO)COC[C@@H](C)N2C)c(-c2cnn(C)c2)n1
700,Z25100,2100545150,-8.833,-0.05,diversity,0.114,CCCO[C@H]1C[C@@H](C(=O)NCC(N)=O)CC[C@@H]1NC(=O)C1Cc2ccccc2C1
701,Z08677,72473756,-8.832,-0.05,enrichment,0.167,NC(=O)NCC(=O)N1CCC[C@@H](c2cc(N3CCOCC3)ncn2)C1
702,Z36574,77406785,-8.832,-0.05,enrichment,0.144,COc1cc(N2CC[C@@H](NC(=O)c3ccccn3)[C@H](O)C2)nc(N)n1
703,Z39842,217102285,-8.832,-0.05,enrichment,0.140,Cc1ncc(CN2CC[C@H](CNC(=O)c3ccccc3C)[C@@H](O)C2)cn1
704,Z28607,91635409,-8.831,-0.05,enrichment,0.136,CC(C)c1cc(C(=O)NCc2ccc3c(c2)OCO3)nc2ncnn12
705,Z30609,72409536,-8.831,-0.05,diversity,0.091,CC1=C(CCN2CCOC[C@H]2CC(=O)NCc2nnn[nH]2)C(C)(C)CCC1
706,Z16572,2325828602,-8.831,-0.05,diversity,0.120,CC(C)(C)c1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)COCc2ccccn2)[nH]n1
707,Z40078,299792233,-8.83,-0.05,enrichment,0.143,O=C(C1CCC1)N1CCn2nc(CNc3ncnc4[nH]ccc34)cc2C1
708,Z29540,1857706717,-8.83,-0.05,diversity,0.119,O=C(Cn1nc2ccccc2n1)N[C@H]1CC[C@@H](NC(=O)c2ccc(Cl)cn2)C1
709,Z31448,426604209,-8.829,-0.05,enrichment,0.174,COCCc1noc(CNC(=O)c2ccc(-c3cnc(N)c(C)c3)cc2)n1
710,Z48554,2382373994,-8.828,-0.05,enrichment,0.138,Nc1ncccc1CNC(=O)[C@]12CC[C@@H](N3CCOCC3)C[C@@H]1CCNC2
711,Z07712,4424169,-8.828,-0.05,enrichment,0.133,COC(=O)c1ccccc1NC(=O)Cn1cnc2sc(C(N)=O)c(C)c2c1=O
712,Z16980,72458753,-8.828,-0.05,diversity,0.109,Cc1ccnn1CC(=O)N1C[C@H](O)[C@@H](N(C)Cc2ccc3nonc3c2)C1
713,Z04817,2382369161,-8.827,-0.05,enrichment,0.135,CN1CCC[C@@]2(CO)CCN(C(=O)c3nc4ncccn4n3)C[C@H]12
714,Z09263,72440258,-8.827,-0.05,diversity,0.094,Cc1ccc(F)c(OC2(C(=O)O)CCN(C(=O)C3(N)CCC3)CC2)c1
715,Z04104,91756142,-8.826,-0.05,enrichment,0.159,CCc1cc(N2CCN(C(=O)[C@@H]3CCCN(C(N)=O)C3)CC2)ncn1
716,Z49271,65396135,-8.826,-0.05,diversity,0.062,NC(=O)C1(N2CCCCC2)CCN(C(=O)C23CNCC2CNC3)CC1
717,Z19983,29489346,-8.825,-0.05,diversity,0.069,O=S(=O)(c1ccccc1)c1no[n+]([O-])c1S(=O)(=O)c1ccccc1
718,Z49096,6709968,-8.825,-0.05,diversity,0.102,Cc1ccnc(NC(=O)CCCn2nnc3ccccc3c2=O)c1
719,Z21484,1875239810,-8.824,-0.05,enrichment,0.135,CN(C)c1ncccc1C(=O)NC[C@H]1[C@H]2CN(c3ccccn3)C[C@]23CC[C@H]1O3
720,Z34650,55104297,-8.824,-0.05,diversity,0.091,CCCOc1ccccc1NS(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C
721,Z09551,230098442,-8.824,-0.05,diversity,0.070,CC(=O)OC12C[C@H]3C[C@@H](C1)CC(C(=O)NC[C@H]1CCN(C)C1)(C3)C2
722,Z02919,2800683,-8.823,-0.04,diversity,0.074,Cn1cc(/C=c2\sc3n(c2=O)[C@H]2C[C@@](C)(N=3)Oc3ccccc32)cn1
723,Z11643,220271893,-8.819,-0.04,enrichment,0.144,O=C(N[C@H](Cc1ccncc1)C1CC(O)C1)c1ccc2c(c1)ncn2CCO
724,Z37477,629387,-8.818,-0.04,enrichment,0.145,COc1ccc(OC[C@H]2Cn3c(nc4c3c(=O)n(C)c(=O)n4C)O2)cc1
725,Z25647,299798917,-8.816,-0.04,enrichment,0.153,NC(=O)c1cccnc1N1CCN(c2cc([C@H]3CCOC3)ncn2)CC1
726,Z23207,2382375211,-8.816,-0.04,diversity,0.070,O=C1C[C@H]2CN(S(=O)(=O)c3cccc(OC(F)(F)F)c3)C[C@H]2CN1
727,Z49200,426361928,-8.814,-0.04,enrichment,0.143,Nc1n[nH]c(C(=O)NCc2cc3n(n2)CCN(C(=O)C2CCC2)C3)c1Cl
728,Z13774,72408296,-8.814,-0.04,diversity,0.092,O=C1CCCc2occ(C(=O)N3C[C@H](O)[C@@H](N4CCSCC4)C3)c21
729,Z32940,77322817,-8.814,-0.04,diversity,0.083,CN(Cc1nc(-c2cccnc2)no1)C(=O)C[C@H]1NC(=O)c2ccccc21
730,Z15216,1565512046,-8.812,-0.03,enrichment,0.143,Cc1cc(C(=O)N[C@H]2CCN(c3ncnc4sccc34)C[C@@H]2O)no1
731,Z11614,2100537593,-8.811,-0.03,enrichment,0.140,Cn1cnc2cnc(N3CCC(C(=O)NCc4ccccc4)CC3)nc21
732,Z29454,2386271824,-8.811,-0.03,enrichment,0.134,CCCc1nnc(N2C[C@H](C(=O)N3CCc4oc(COC)nc4C3)CC2=O)s1
733,Z13304,247754170,-8.81,-0.03,diversity,0.114,O[C@@H]1C[C@@H]2CCN3Cc4cc5c(cc4[C@H]([C@H]1O)[C@@H]23)OCO5
734,Z34510,2325878117,-8.808,-0.03,enrichment,0.136,O=C(N[C@H]1CCN(c2cc[nH]n2)C1=O)c1cc2cccn2c(O)n1
735,Z11293,209126003,-8.807,-0.03,diversity,0.080,CN(c1nncc(-c2ccc(C(F)(F)F)cc2)n1)[C@H]1CS(=O)(=O)C[C@@H]1O
736,Z41732,2382429410,-8.807,-0.03,diversity,0.101,Cc1ocnc1C(=O)N1CCC[C@@]2(C(=O)N(C)Cc3ccon3)CCN(C)C[C@H]12
737,Z46115,2382305805,-8.806,-0.03,diversity,0.120,NS(=O)(=O)C1CCN(c2noc(-c3ccc(Cl)cc3)c2C(=O)O)CC1
738,Z15299,1857720226,-8.805,-0.03,enrichment,0.151,OC[C@]1(Cc2ccc(F)cc2)CN(c2ncnc3[nH]cnc23)CC[C@@H]1O
739,Z34155,2325805729,-8.805,-0.03,diversity,0.075,O=C(O[C@@H]1CCS(=O)(=O)C1)[C@@H]1CS[C@@]2(c3ccc(F)cc3)CCC(=O)N12
740,Z12701,243892337,-8.804,-0.03,enrichment,0.149,O=C(N[C@H]1C[C@@H](c2cc(N3CC[C@@H](O)C3)ncn2)C1)c1c[nH]c(=O)[nH]1
741,Z03787,1857710132,-8.804,-0.03,enrichment,0.135,NC(=O)Cc1nc([C@H]2C[C@@H]3CC[C@H]2O3)n(-c2ccc3c(c2)OCCO3)n1
742,Z35688,34095100,-8.803,-0.03,enrichment,0.333,O=C(Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O)c1ccccc1
743,Z23825,67787651,-8.803,-0.03,enrichment,0.133,Nc1nnnn1CC(=O)NCc1cccnc1Oc1ccc(F)cc1F
744,Z47898,426494473,-8.802,-0.02,enrichment,0.155,O=C(N[C@H]1COC[C@@H]1O)c1ccc(-c2cc(N3CCCCC3)ncn2)cc1
745,Z00016,2382335886,-8.802,-0.02,diversity,0.080,CN1CCC(N2C(=O)c3cc4nc(-c5cncn5C)[nH]c4cc3C2=O)CC1
746,Z43462,95360383,-8.802,-0.02,diversity,0.098,O[C@H]1CCCOC12CCN(c1cc(N3CCCC3)cnn1)CC2
747,Z13389,21802620,-8.802,-0.02,diversity,0.094,COC(=O)Cn1c(C)cc(=O)n2nc(-c3ccc(Cl)cc3)nc12
748,Z21820,65407427,-8.801,-0.02,enrichment,0.149,CCn1ncnc1[C@H]1CC(=O)Nc2nc(N3CCOCC3)nc(N)c21
749,Z08806,2325848614,-8.8,-0.02,enrichment,0.143,Cn1c(=O)oc2c(C(=O)NC3CC(CS(N)(=O)=O)C3)cccc21
750,Z26618,2382419958,-8.8,-0.02,enrichment,0.143,CN1[C@H](CNC(=O)c2cccn3cnnc23)CC[C@@H]1CC(=O)N1CCOCC1
751,Z07355,1857698118,-8.797,-0.02,enrichment,0.140,O=C(NCc1nncn1C1CCCCC1)[C@H]1CCc2ncnn2C1
752,Z42426,1857691719,-8.797,-0.02,diversity,0.074,CCc1nn2c(=O)cc(CN3C[C@H]4[C@H](N(C)C)CS(=O)(=O)[C@H]4C3)nc2s1
753,Z31988,215608440,-8.795,-0.02,enrichment,0.136,O=C1[C@H]2CN(c3ncnc4sccc34)C[C@@]2(C(=O)O)CN1CC1CC1
754,Z45529,91907424,-8.793,-0.01,enrichment,0.148,CC1(C)Cc2nc(N3CCC(O)CC3)ncc2[C@H](Nc2ccnc(N)n2)C1
755,Z16223,96152632,-8.793,-0.01,enrichment,0.141,CCNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccc(N)nc2)CN1C(=O)c1ccco1
756,Z46293,41241804,-8.792,-0.01,enrichment,0.150,O=C(COc1ccccc1)N1CCN(C(=O)[C@H]2CC(=O)N(C3CC3)C2)CC1
757,Z00936,629391,-8.792,-0.01,enrichment,0.145,COc1ccc(OC[C@@H]2Cn3c(nc4c3c(=O)n(C)c(=O)n4C)O2)cc1
758,Z06294,2382383974,-8.792,-0.01,diversity,0.094,CN1CC[C@H](O)[C@@H](C(=O)N2CCC3(C=Cc4ccccc43)CC2)C1
759,Z18543,1506427210,-8.792,-0.01,diversity,0.105,COc1ccccc1N1C[C@H](C(=O)Nc2cnn3c2NCCC3)CC1=O
760,Z13691,4083819,-8.791,-0.01,enrichment,0.179,Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)ccc12
761,Z15503,2100540467,-8.79,-0.01,diversity,0.089,CN1CCN(CC(=O)Nc2n[nH]c3c(C(F)(F)F)cccc23)C1=O
762,Z00620,1278644,-8.789,-0.01,diversity,0.065,CC1=NN=C2Nc3c(c(=O)n(C)c(=O)n3C)N2[C@@H]1C
763,Z04487,55042185,-8.787,-0.01,diversity,0.112,O=C(C[C@H]1C(=O)NCCN1Cc1cccs1)NCc1ccc(-n2cncn2)cc1
764,Z30811,1704280496,-8.783,-0.0,enrichment,0.143,CS(=O)(=O)CCC(=O)N1C[C@H](O)[C@H](Cc2ccnc3ccccc23)C1
765,Z45341,2382391037,-8.783,-0.0,enrichment,0.135,CCOc1ccccc1C(=O)N[C@@H]1CS(=O)(=O)C[C@@H]1n1ccnc1C1CC1
766,Z27054,97772837,-8.782,-0.0,enrichment,0.135,CS(=O)(=O)N1CCO[C@H](CNC(=O)c2cn3cccnc3n2)C1
767,Z33726,67726039,-8.782,-0.0,enrichment,0.135,CN1C[C@@H](N)C[C@H]1C(=O)NCc1cccnc1Oc1ccccc1F
768,Z38451,95360192,-8.781,-0.0,diversity,0.049,Cc1nc(N[C@@H](C)c2nnn[nH]2)c2c(C)noc2n1
769,Z26789,19794936,-8.781,-0.0,diversity,0.077,O=c1ccc(=O)n(Cc2nc([C@]3(c4ccc(F)cc4)CCOC3)no2)[nH]1
770,Z34759,1049209,-8.78,-0.0,enrichment,0.146,Cc1ccnc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)n1
771,Z40309,82108235,-8.78,-0.0,diversity,0.068,COc1cc(SC)c(OC)cc1CN1CC[C@@]2(CC(=O)NC2=O)C1
772,Z36380,1772816997,-8.78,-0.0,diversity,0.083,Cc1ccn2c(C(=O)N3CCC(C4(O)CC4)CC3)nnc2n1
773,Z28244,1616117688,-8.78,-0.0,diversity,0.117,O=C(c1cnc(O)c2ccccc12)N1C[C@H](O)[C@@H](F)C1
774,Z09360,2382371510,-8.779,-0.0,enrichment,0.145,Cn1cnc(C(=O)N[C@H]2CS(=O)(=O)C[C@@H]2NC(=O)Cc2ccc(F)cc2)c1
775,Z22619,2325800084,-8.779,-0.0,diversity,0.091,NC1(CN=c2[nH]cnc3cccnc23)CCN(Cc2ccccc2)CC1
776,Z34977,71376046,-8.778,0.0,diversity,0.075,CC1=C[C@@H]2C(=O)NC(CSCC(=O)N=c3[nH]c4ccccc4[nH]3)=N[C@@H]2S1
777,Z47891,2325857105,-8.778,0.0,diversity,0.099,O=C(NCc1cn(C2CCNCC2)nn1)c1cncc2[nH]ccc12
778,Z23013,244898948,-8.777,0.0,enrichment,0.163,Cc1cccc(CN2CCN(c3cc([C@H]4C[C@@H](O)C4)ncn3)CC2=O)c1
779,Z32472,22781369,-8.777,0.0,diversity,0.072,N=c1c2cc([N+](=O)[O-])cnc2nc2nc(C(F)(F)F)[nH]n12
780,Z20307,2382344807,-8.776,0.0,enrichment,0.153,CNC(=O)C[C@H]1CC[C@@H](CNC(=O)c2ccnc3c2nc(C)n3C)N1C
781,Z01165,2382337796,-8.776,0.0,enrichment,0.140,Cc1ccc(OCC(=O)NC[C@@H]2CC[C@H](CC(=O)N3CCOCC3)N2C)cc1
782,Z29136,65501621,-8.775,0.0,enrichment,0.136,CN(C[C@@H]1CC(=O)N(C2CCCC2)C1)c1cc(N2CCOCC2)nc(N)n1
783,Z19506,2386270828,-8.773,0.01,diversity,0.110,CCn1ncc(=NC(=O)[C@H](C)Oc2ccc3c(C)c(C)c(=O)oc3c2)[nH]1
784,Z37378,2325701264,-8.772,0.01,diversity,0.096,O=C(c1ccc2c(=O)ccoc2c1)N1CCC[C@H](Cn2ccnn2)C1
785,Z35409,95375179,-8.772,0.01,diversity,0.067,CNc1nc2c(c(C(=O)N3CCCC3)n1)CN(C(=O)[C@H](O)CC(C)C)CC2
786,Z39626,1849659,-8.771,0.01,diversity,0.122,O=C(C[C@@H]1NCCC[C@H]1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O
787,Z35816,1565514373,-8.77,0.01,enrichment,0.154,Cn1cnc2cc(C(=O)N[C@H]3COCC[C@@H]3Oc3ccccn3)ccc21
788,Z13668,23144937,-8.77,0.01,diversity,0.073,Cn1cc(CNCCSc2c[nH]nn2)c(-c2ccc3c(c2)OCCO3)n1
789,Z27688,1565507868,-8.769,0.01,enrichment,0.152,Cc1cccc(OCC(=O)N[C@H]2CCN(Cc3c(C)noc3C)C[C@@H]2O)c1
790,Z38969,1565514632,-8.769,0.01,diversity,0.102,O=C(O)[C@H]1CN(C(=O)c2cn3ccsc3n2)C[C@@H]1c1ncc[nH]1
791,Z06956,2384434413,-8.767,0.01,enrichment,0.138,O=C(NC[C@H]1[C@@H]2CC[C@@]3(CN(c4cnccn4)C[C@@H]13)O2)c1ccco1
792,Z12671,67446719,-8.767,0.01,diversity,0.080,Cc1n[nH]c(C)c1[C@H](NC(=O)Cc1ccc(O)c(Cl)c1)C(=O)O
793,Z12948,2325800568,-8.766,0.01,diversity,0.087,N[C@@H]1C2C[C@H]3[C@@H](C2)C31C(=O)NCc1ccc(N2CCCS2(=O)=O)c(F)c1
794,Z01848,2325803751,-8.766,0.01,diversity,0.092,CO[C@@H]1CCC[C@H]1N1CCN(C(=O)C2=C3CCN=C3NC=C2)CC1
795,Z13042,2325829406,-8.766,0.01,diversity,0.096,COc1cccn2ncc(C(=O)N3C[C@@H]4C[C@H]3CN4C(=O)[C@@H]3OCC[C@@H]3C)c12
796,Z47052,299802043,-8.765,0.01,enrichment,0.134,CS(=O)(=O)c1ccc(CC(=O)N2CCC(c3ccncn3)CC2)cc1
797,Z21436,5530728,-8.765,0.01,diversity,0.100,C[C@@H]1[C@@H](NC(=S)NC(=O)c2ccccc2)C(=O)N(c2ccccc2)N1C
798,Z09627,95387393,-8.764,0.01,diversity,0.066,O=S(=O)(c1ccc(-c2ccn[nH]2)o1)N1CCC[C@@]2(CCOC2)C1
799,Z33967,2382428234,-8.763,0.02,enrichment,0.137,CCCCC(=O)NC[C@H]1[C@H]2CN(C(=O)c3cnc(O)nc3O)C[C@]23CC[C@H]1O3
800,Z38590,244874984,-8.763,0.02,enrichment,0.136,Cc1ccc(OCC(=O)N[C@@H]2CCN(C(=O)c3ccccn3)C[C@H]2O)cc1
801,Z45051,1857717014,-8.762,0.02,enrichment,0.146,Cc1ncc(C(=O)N2CCO[C@@H](CN3CCC(O)CC3)[C@@H]2c2ccccc2)[nH]1
802,Z10266,67755522,-8.761,0.02,diversity,0.092,Cn1nc2c(c1C(=O)N1CCn3c(C(N)=O)cnc3C1)CCCC2
803,Z42177,2325775473,-8.76,0.02,diversity,0.087,CN(Cc1nccn1C)c1nc(N2C[C@H]3C(=O)NC(=O)[C@H]3C2)c2ccccc2n1
804,Z29398,61721432,-8.76,0.02,diversity,0.095,COC(=O)CC1CCN(C(=O)Cn2nc(-c3ccc(OC)cc3F)ccc2=O)CC1
805,Z48574,299793500,-8.759,0.02,enrichment,0.135,O=C(COc1ccccc1)NC[C@H]1CN(C2CCN(C3CCC3)CC2)C(=O)CO1
806,Z38008,426490256,-8.758,0.02,enrichment,0.150,Nc1ncc(-c2ccc(C(=O)N3CCN(C4CCCC4)C(=O)C3)cc2)cn1
807,Z18139,72457116,-8.758,0.02,enrichment,0.138,COc1ccc(CN2CCN(c3ncnc4[nH]cnc34)C[C@@H]2CCO)c(F)c1
808,Z01642,24616908,-8.758,0.02,diversity,0.061,O=C1CCC(=O)N1CCS(=O)(=O)c1c(F)c(F)nc(N2CCCC2)c1F
809,Z14661,95504373,-8.757,0.02,enrichment,0.158,COc1ccc2c(c1)OC[C@]1(CO)CN(C(=O)c3cc4ncccn4n3)C[C@H]21
